Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Distributor Location,Manufacturer Location,Raw Material Supplier Location,Stock at Distributor,Stock Status,Sales Quantity,Sale Date
M-1000,O-17237,Paracetamol,Relieves fever & mild to moderate pain.,B-5952,2023-07-29,22270,Dis,Ahmedabad,16,2025-06-09,179.0,Delhi,Ahmedabad,Ahmedabad,Hyderabad,8926,Understock,,2024-03-13
M-1005,O-30069,Metformin,Controls blood sugar in type 2 diabetes.,B-3154,2021-06-10,41680,Dis,Jaipur,27,2022-08-06,-859.0,Pune,Jaipur,Lucknow,Lucknow,30735,Understock,,2022-09-27
M-1002,O-31545,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-6090,2022-01-19,96750,Ret,Hyderabad,12,2024-11-03,-39.0,Hyderabad,Delhi,Ahmedabad,Delhi,0,,8450.0,2022-09-01
M-1006,O-88858,Omeprazole,Treats GERD and other stomach issues.,B-1734,2022-06-13,85480,RMS,Hyderabad,913,2025-04-13,,Mumbai,Pune,Jaipur,Hyderabad,0,,,2023-07-03
M-1007,O-15269,Cetirizine,Antihistamine for allergy symptoms.,B-2568,2021-07-22,50080,RMS,Ahmedabad,1239,2023-03-07,,Pune,Lucknow,Ahmedabad,Ahmedabad,0,,,2023-04-20
M-1009,O-15691,Cefixime,Antibiotic for respiratory and UTI infections.,B-3755,2020-03-23,45840,Ret,Kolkata,7,2022-09-26,-808.0,Kolkata,Mumbai,Bangalore,Hyderabad,0,,9800.0,2020-11-28
M-1001,O-12588,Amoxicillin,Antibiotic for bacterial infections.,B-5086,2024-10-19,93220,Ret,Delhi,18,2026-12-08,726.0,Delhi,Pune,Kolkata,Pune,0,,1770.0,2024-11-13
M-1013,O-72568,Montelukast,Prevents asthma & seasonal allergies.,B-3428,2020-04-17,35976,Dis,Bangalore,24,2021-05-16,-1306.0,Ahmedabad,Bangalore,Kolkata,Chennai,34531,Understock,,2022-01-27
M-1007,O-10943,Cetirizine,Antihistamine for allergy symptoms.,B-1510,2021-02-07,68840,RMS,Lucknow,1404,2023-11-24,,Chennai,Hyderabad,Mumbai,Lucknow,0,,,2022-02-13
M-1007,O-11961,Cetirizine,Antihistamine for allergy symptoms.,B-9527,2023-05-19,6330,Ret,Pune,29,2023-12-23,-355.0,Pune,Kolkata,Bangalore,Chennai,0,,4490.0,2023-09-25
M-1006,O-98356,Omeprazole,Treats GERD and other stomach issues.,B-5420,2024-02-16,29300,RMS,Mumbai,300,2026-10-17,,Mumbai,Lucknow,Hyderabad,Mumbai,0,,,2024-06-11
M-1008,O-87902,Dolo 650,Brand of paracetamol for pain & fever.,B-6321,2024-08-23,83370,Man,Chennai,15,2026-11-11,699.0,Delhi,Lucknow,Chennai,Bangalore,0,,,2024-11-21
M-1000,O-63746,Paracetamol,Relieves fever & mild to moderate pain.,B-9290,2021-05-22,7150,Ret,Bangalore,22,2022-07-15,-881.0,Bangalore,Delhi,Lucknow,Bangalore,0,,3040.0,2021-06-11
M-1007,O-72957,Cetirizine,Antihistamine for allergy symptoms.,B-7613,2024-12-12,45430,Man,Delhi,12,2027-09-25,1017.0,Kolkata,Bangalore,Delhi,Mumbai,0,,,2024-12-12
M-1006,O-50011,Omeprazole,Treats GERD and other stomach issues.,B-9894,2020-08-28,6770,Dis,Jaipur,9,2021-06-13,-1278.0,Kolkata,Jaipur,Pune,Chennai,7998,Understock,,2021-08-16
M-1000,O-64184,Paracetamol,Relieves fever & mild to moderate pain.,B-2034,2023-08-23,88030,Dis,Pune,20,2026-05-25,529.0,Jaipur,Pune,Ahmedabad,Ahmedabad,9879,Understock,,2024-11-01
M-1010,O-49814,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9148,2024-07-22,35110,Dis,Delhi,2,2026-12-07,725.0,Kolkata,Delhi,Hyderabad,Ahmedabad,1203,Understock,,2024-10-03
M-1011,O-41289,Pantoprazole,Treats stomach & esophagus problems.,B-4537,2020-03-20,80720,Man,Mumbai,7,2021-08-26,-1204.0,Hyderabad,Lucknow,Mumbai,Delhi,0,,,2024-10-27
M-1002,O-23675,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-5765,2024-11-15,78890,Dis,Mumbai,16,2025-07-18,218.0,Delhi,Mumbai,Lucknow,Ahmedabad,36332,Optimal,,2024-11-18
M-1003,O-12409,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-2754,2021-09-27,25120,Ret,Hyderabad,7,2024-01-07,-340.0,Hyderabad,Kolkata,Jaipur,Mumbai,0,,1900.0,2022-02-26
M-1002,O-63422,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8874,2021-04-29,65080,Man,Hyderabad,11,2022-10-25,-779.0,Kolkata,Jaipur,Hyderabad,Jaipur,0,,,2022-03-16
M-1002,O-57117,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-6715,2020-06-24,93370,Ret,Ahmedabad,17,2021-07-17,-1244.0,Ahmedabad,Bangalore,Pune,Jaipur,0,,1860.0,2024-08-11
M-1004,O-24401,Azithromycin,Antibiotic for bacterial infections.,B-5121,2020-11-19,70490,RMS,Mumbai,1484,2023-01-31,,Jaipur,Delhi,Chennai,Mumbai,0,,,2022-03-25
M-1002,O-38768,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8888,2024-08-30,64750,Ret,Bangalore,28,2026-02-08,423.0,Bangalore,Pune,Delhi,Ahmedabad,0,,3600.0,2024-10-13
M-1013,O-41554,Montelukast,Prevents asthma & seasonal allergies.,B-8977,2024-12-05,15400,Man,Jaipur,19,2027-05-11,880.0,Mumbai,Hyderabad,Jaipur,Delhi,0,,,2024-12-06
M-1003,O-30614,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-2530,2023-05-30,77930,Man,Delhi,3,2024-11-08,-34.0,Ahmedabad,Kolkata,Delhi,Ahmedabad,0,,,2023-12-03
M-1013,O-52355,Montelukast,Prevents asthma & seasonal allergies.,B-2044,2021-05-23,17700,RMS,Chennai,1299,2024-01-17,,Ahmedabad,Hyderabad,Jaipur,Chennai,0,,,2023-09-24
M-1005,O-34149,Metformin,Controls blood sugar in type 2 diabetes.,B-4263,2021-09-20,24130,Dis,Mumbai,30,2022-04-28,-959.0,Jaipur,Mumbai,Kolkata,Delhi,19349,Understock,,2022-12-13
M-1001,O-58865,Amoxicillin,Antibiotic for bacterial infections.,B-9334,2023-12-04,89890,RMS,Delhi,374,2026-08-04,,Delhi,Hyderabad,Kolkata,Delhi,0,,,2024-04-04
M-1002,O-92627,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-1517,2020-06-11,31880,Ret,Delhi,12,2021-07-15,-1246.0,Delhi,Lucknow,Lucknow,Delhi,0,,4320.0,2023-12-07
M-1010,O-62049,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9760,2024-06-13,32000,Ret,Lucknow,24,2026-02-10,425.0,Lucknow,Ahmedabad,Chennai,Ahmedabad,0,,5800.0,2024-07-09
M-1004,O-56001,Azithromycin,Antibiotic for bacterial infections.,B-1338,2020-09-11,11600,RMS,Bangalore,1553,2022-06-26,,Lucknow,Delhi,Ahmedabad,Bangalore,0,,,2024-06-23
M-1002,O-92188,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3123,2023-07-12,65730,Ret,Jaipur,10,2024-09-29,-74.0,Jaipur,Mumbai,Ahmedabad,Bangalore,0,,930.0,2023-12-18
M-1007,O-47079,Cetirizine,Antihistamine for allergy symptoms.,B-9546,2021-08-27,71420,Man,Bangalore,18,2024-02-04,-312.0,Lucknow,Delhi,Bangalore,Pune,0,,,2024-05-03
M-1007,O-96722,Cetirizine,Antihistamine for allergy symptoms.,B-5387,2021-05-23,84450,Ret,Mumbai,25,2023-07-26,-505.0,Mumbai,Ahmedabad,Pune,Mumbai,0,,9530.0,2024-06-13
M-1012,O-19695,Levofloxacin,Antibiotic for bacterial infections.,B-1803,2021-06-13,94350,Dis,Jaipur,15,2022-06-05,-921.0,Lucknow,Jaipur,Chennai,Pune,9954,Optimal,,2022-06-26
M-1009,O-34204,Cefixime,Antibiotic for respiratory and UTI infections.,B-2416,2023-03-11,97750,Ret,Bangalore,11,2024-01-19,-328.0,Bangalore,Bangalore,Pune,Pune,0,,4990.0,2024-12-07
M-1000,O-57518,Paracetamol,Relieves fever & mild to moderate pain.,B-5879,2021-11-03,72180,Ret,Delhi,1,2022-07-22,-874.0,Delhi,Lucknow,Lucknow,Hyderabad,0,,7830.0,2023-05-14
M-1007,O-11974,Cetirizine,Antihistamine for allergy symptoms.,B-3909,2020-06-04,109272,Ret,Hyderabad,24,2021-08-09,-1221.0,Hyderabad,Jaipur,Jaipur,Hyderabad,0,,1000.0,2024-09-12
M-1010,O-40761,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-3986,2022-11-07,46670,RMS,Hyderabad,766,2024-05-23,,Jaipur,Jaipur,Delhi,Hyderabad,0,,,2022-12-04
M-1007,O-66369,Cetirizine,Antihistamine for allergy symptoms.,B-9212,2023-10-22,57350,Dis,Lucknow,22,2025-08-21,252.0,Hyderabad,Lucknow,Bangalore,Hyderabad,9004,Understock,,2024-11-22
M-1003,O-77150,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-6689,2020-01-29,79340,Man,Delhi,13,2022-09-04,-830.0,Mumbai,Kolkata,Delhi,Bangalore,0,,,2022-05-10
M-1003,O-76116,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-6411,2022-02-11,27010,Man,Hyderabad,12,2024-09-04,-99.0,Delhi,Delhi,Hyderabad,Pune,0,,,2024-04-05
M-1002,O-74094,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3727,2024-03-05,76604,Ret,Pune,23,2026-08-22,618.0,Pune,Pune,Hyderabad,Mumbai,0,,7550.0,2024-10-25
M-1013,O-88469,Montelukast,Prevents asthma & seasonal allergies.,B-5026,2021-07-15,57230,Man,Hyderabad,28,2024-05-12,-214.0,Bangalore,Kolkata,Hyderabad,Chennai,0,,,2022-12-11
M-1008,O-67388,Dolo 650,Brand of paracetamol for pain & fever.,B-1806,2020-03-10,49140,Ret,Chennai,8,2021-08-17,-1213.0,Chennai,Bangalore,Mumbai,Mumbai,0,,8160.0,2020-04-01
M-1006,O-35574,Omeprazole,Treats GERD and other stomach issues.,B-6292,2020-01-21,79190,Ret,Pune,25,2021-07-27,-1234.0,Pune,Lucknow,Jaipur,Bangalore,0,,8340.0,2022-06-13
M-1008,O-37765,Dolo 650,Brand of paracetamol for pain & fever.,B-9527,2022-02-18,81320,Man,Kolkata,12,2022-10-24,-780.0,Bangalore,Ahmedabad,Kolkata,Jaipur,0,,,2023-07-12
M-1012,O-39811,Levofloxacin,Antibiotic for bacterial infections.,B-6985,2022-10-24,97910,Dis,Hyderabad,26,2023-10-23,-416.0,Lucknow,Hyderabad,Lucknow,Pune,30515,Optimal,,2023-09-14
M-1001,O-85363,Amoxicillin,Antibiotic for bacterial infections.,B-7435,2022-08-16,72770,Ret,Bangalore,26,2024-03-31,-256.0,Bangalore,Chennai,Pune,Bangalore,0,,2610.0,2023-05-21
M-1011,O-28783,Pantoprazole,Treats stomach & esophagus problems.,B-3648,2024-07-16,95900,RMS,Bangalore,149,2026-03-12,,Chennai,Kolkata,Lucknow,Bangalore,0,,,2024-09-29
M-1008,O-99654,Dolo 650,Brand of paracetamol for pain & fever.,B-3437,2022-03-14,77380,Ret,Mumbai,14,2024-09-16,-87.0,Mumbai,Kolkata,Bangalore,Kolkata,0,,8710.0,2023-01-28
M-1005,O-36279,Metformin,Controls blood sugar in type 2 diabetes.,B-3307,2020-07-23,42540,RMS,Kolkata,1603,2022-03-19,,Delhi,Lucknow,Kolkata,Kolkata,0,,,2020-10-27
M-1008,O-58054,Dolo 650,Brand of paracetamol for pain & fever.,B-6076,2022-01-29,97800,RMS,Ahmedabad,1048,2022-09-17,,Ahmedabad,Kolkata,Mumbai,Ahmedabad,0,,,2023-09-24
M-1004,O-63776,Azithromycin,Antibiotic for bacterial infections.,B-8655,2022-06-01,21860,Dis,Lucknow,21,2024-09-20,-83.0,Kolkata,Lucknow,Mumbai,Delhi,28267,Understock,,2022-10-09
M-1000,O-81162,Paracetamol,Relieves fever & mild to moderate pain.,B-4928,2021-05-15,80310,Dis,Hyderabad,26,2023-03-25,-628.0,Mumbai,Hyderabad,Lucknow,Jaipur,39671,Optimal,,2024-06-12
M-1001,O-77455,Amoxicillin,Antibiotic for bacterial infections.,B-6404,2020-10-23,90470,Ret,Bangalore,20,2022-04-08,-979.0,Bangalore,Hyderabad,Jaipur,Delhi,0,,9860.0,2021-10-25
M-1004,O-90886,Azithromycin,Antibiotic for bacterial infections.,B-8020,2022-12-08,84230,Ret,Mumbai,30,2025-05-03,142.0,Mumbai,Delhi,Delhi,Chennai,0,,5670.0,2024-02-09
M-1007,O-43371,Cetirizine,Antihistamine for allergy symptoms.,B-9013,2021-12-18,96880,Ret,Ahmedabad,6,2024-08-14,-120.0,Ahmedabad,Ahmedabad,Delhi,Jaipur,0,,620.0,2024-05-20
M-1007,O-87914,Cetirizine,Antihistamine for allergy symptoms.,B-8373,2021-03-17,89300,Ret,Pune,2,2022-06-22,-904.0,Pune,Kolkata,Bangalore,Delhi,0,,8290.0,2021-04-14
M-1000,O-11638,Paracetamol,Relieves fever & mild to moderate pain.,B-8924,2021-10-23,7260,Dis,Delhi,20,2022-05-02,-955.0,Lucknow,Delhi,Lucknow,Jaipur,26788,Understock,,2024-07-03
M-1011,O-51012,Pantoprazole,Treats stomach & esophagus problems.,B-3890,2020-08-13,7970,RMS,Pune,1582,2021-08-19,,Ahmedabad,Delhi,Jaipur,Pune,0,,,2023-09-14
M-1002,O-42927,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8570,2022-03-19,36036,Dis,Chennai,15,2024-08-12,-122.0,Mumbai,Chennai,Jaipur,Delhi,48198,Understock,,2022-08-30
M-1012,O-31655,Levofloxacin,Antibiotic for bacterial infections.,B-9585,2024-04-10,64410,RMS,Jaipur,246,2024-12-16,,Kolkata,Chennai,Lucknow,Jaipur,0,,,2024-10-04
M-1000,O-32317,Paracetamol,Relieves fever & mild to moderate pain.,B-7811,2024-12-09,146620,Ret,Chennai,17,2027-03-11,819.0,Chennai,Hyderabad,Kolkata,Hyderabad,0,,2630.0,2024-12-12
M-1008,O-25980,Dolo 650,Brand of paracetamol for pain & fever.,B-8092,2023-04-19,17010,Man,Delhi,13,2024-07-12,-153.0,Kolkata,Hyderabad,Delhi,Lucknow,0,,,2024-06-13
M-1006,O-93349,Omeprazole,Treats GERD and other stomach issues.,B-4793,2023-05-30,37296,Dis,Jaipur,19,2025-08-25,256.0,Pune,Jaipur,Lucknow,Kolkata,41683,Understock,,2024-04-20
M-1003,O-43058,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-8460,2024-04-04,99430,Dis,Bangalore,3,2025-04-10,119.0,Kolkata,Bangalore,Hyderabad,Jaipur,1090,Optimal,,2024-07-29
M-1013,O-78644,Montelukast,Prevents asthma & seasonal allergies.,B-2655,2023-10-11,61670,Man,Hyderabad,25,2026-02-23,438.0,Kolkata,Mumbai,Hyderabad,Lucknow,0,,,2024-01-12
M-1004,O-18260,Azithromycin,Antibiotic for bacterial infections.,B-7328,2021-05-31,93150,Dis,Ahmedabad,23,2022-11-22,-751.0,Kolkata,Ahmedabad,Ahmedabad,Chennai,40268,Optimal,,2024-07-26
M-1011,O-82117,Pantoprazole,Treats stomach & esophagus problems.,B-1393,2020-07-29,65330,RMS,Bangalore,1597,2021-11-05,,Jaipur,Delhi,Pune,Bangalore,0,,,2024-04-02
M-1010,O-13887,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-5930,2024-10-24,64896,Dis,Jaipur,24,2025-06-08,178.0,Jaipur,Jaipur,Pune,Pune,2547,Understock,,2024-11-04
M-1007,O-64720,Cetirizine,Antihistamine for allergy symptoms.,B-3582,2020-12-06,9520,Dis,Hyderabad,11,2022-01-20,-1057.0,Jaipur,Hyderabad,Mumbai,Mumbai,18369,Understock,,2021-04-27
M-1007,O-37479,Cetirizine,Antihistamine for allergy symptoms.,B-1998,2022-05-03,74270,Man,Delhi,28,2023-03-13,-640.0,Chennai,Bangalore,Delhi,Jaipur,0,,,2023-06-02
M-1001,O-34165,Amoxicillin,Antibiotic for bacterial infections.,B-4545,2019-12-14,62340,Man,Pune,10,2021-05-29,-1293.0,Kolkata,Ahmedabad,Pune,Pune,0,,,2024-04-26
M-1011,O-10176,Pantoprazole,Treats stomach & esophagus problems.,B-3357,2021-06-13,39800,Man,Delhi,19,2023-08-27,-473.0,Bangalore,Mumbai,Delhi,Pune,0,,,2022-05-27
M-1010,O-19879,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9222,2024-07-05,11270,RMS,Bangalore,160,2026-10-01,,Kolkata,Hyderabad,Ahmedabad,Bangalore,0,,,2024-09-01
M-1002,O-94440,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7727,2022-07-14,70420,Dis,Kolkata,22,2025-05-24,163.0,Chennai,Kolkata,Pune,Delhi,44434,Optimal,,2023-04-20
M-1011,O-67609,Pantoprazole,Treats stomach & esophagus problems.,B-8401,2020-12-16,91890,Ret,Delhi,6,2021-11-23,-1115.0,Delhi,Ahmedabad,Pune,Bangalore,0,,7870.0,2021-05-11
M-1004,O-62338,Azithromycin,Antibiotic for bacterial infections.,B-9282,2023-03-24,11190,RMS,Kolkata,629,2025-05-09,,Bangalore,Mumbai,Chennai,Kolkata,0,,,2023-12-20
M-1006,O-78894,Omeprazole,Treats GERD and other stomach issues.,B-4745,2023-11-17,42370,Man,Lucknow,17,2025-04-19,128.0,Chennai,Ahmedabad,Lucknow,Mumbai,0,,,2024-10-29
M-1006,O-95592,Omeprazole,Treats GERD and other stomach issues.,B-1791,2024-02-13,35520,RMS,Pune,303,2026-12-24,,Ahmedabad,Pune,Delhi,Pune,0,,,2024-10-03
M-1007,O-27609,Cetirizine,Antihistamine for allergy symptoms.,B-3732,2023-01-14,6240,Man,Ahmedabad,21,2023-10-18,-421.0,Ahmedabad,Kolkata,Ahmedabad,Delhi,0,,,2023-10-17
M-1001,O-88101,Amoxicillin,Antibiotic for bacterial infections.,B-1686,2021-12-14,76510,Man,Jaipur,22,2022-08-27,-838.0,Kolkata,Delhi,Jaipur,Bangalore,0,,,2022-05-25
M-1014,O-69743,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-1587,2021-02-04,10490,Man,Jaipur,13,2022-11-02,-771.0,Delhi,Hyderabad,Jaipur,Mumbai,0,,,2024-05-05
M-1002,O-80846,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8136,2023-02-16,55410,Dis,Chennai,9,2024-08-25,-109.0,Hyderabad,Chennai,Lucknow,Pune,10423,Understock,,2023-09-12
M-1012,O-32114,Levofloxacin,Antibiotic for bacterial infections.,B-8377,2022-09-27,58750,Dis,Kolkata,5,2025-07-07,207.0,Bangalore,Kolkata,Hyderabad,Jaipur,44281,Optimal,,2023-03-23
M-1007,O-75589,Cetirizine,Antihistamine for allergy symptoms.,B-5220,2024-06-20,98340,RMS,Hyderabad,175,2026-07-04,,Hyderabad,Pune,Ahmedabad,Hyderabad,0,,,2024-09-10
M-1003,O-50739,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-5077,2023-07-16,26325,Man,Mumbai,30,2024-02-22,-294.0,Delhi,Chennai,Mumbai,Kolkata,0,,,2024-03-20
M-1012,O-69755,Levofloxacin,Antibiotic for bacterial infections.,B-6361,2023-12-04,51090,RMS,Chennai,374,2026-09-25,,Hyderabad,Bangalore,Delhi,Chennai,0,,,2024-06-26
M-1012,O-19909,Levofloxacin,Antibiotic for bacterial infections.,B-9414,2024-11-03,23470,RMS,Pune,39,2026-03-08,,Mumbai,Bangalore,Lucknow,Pune,0,,,2024-11-29
M-1004,O-13390,Azithromycin,Antibiotic for bacterial infections.,B-8960,2023-10-16,79850,Dis,Mumbai,1,2026-10-10,667.0,Pune,Mumbai,Lucknow,Delhi,39304,Optimal,,2024-03-03
M-1012,O-93235,Levofloxacin,Antibiotic for bacterial infections.,B-4725,2021-01-19,13650,Man,Pune,10,2022-01-27,-1050.0,Hyderabad,Lucknow,Pune,Jaipur,0,,,2022-01-28
M-1006,O-42118,Omeprazole,Treats GERD and other stomach issues.,B-8709,2023-05-22,67344,Man,Lucknow,18,2025-09-16,278.0,Chennai,Kolkata,Lucknow,Ahmedabad,0,,,2024-06-21
M-1012,O-91570,Levofloxacin,Antibiotic for bacterial infections.,B-3027,2024-01-06,52780,Dis,Hyderabad,18,2026-12-30,748.0,Hyderabad,Hyderabad,Chennai,Chennai,4102,Understock,,2024-03-10
M-1013,O-54951,Montelukast,Prevents asthma & seasonal allergies.,B-9814,2021-05-15,18980,Ret,Bangalore,15,2023-08-11,-489.0,Bangalore,Lucknow,Bangalore,Ahmedabad,0,,9880.0,2022-08-05
M-1008,O-92740,Dolo 650,Brand of paracetamol for pain & fever.,B-2639,2020-07-03,15050,Man,Lucknow,19,2022-10-17,-787.0,Kolkata,Bangalore,Lucknow,Jaipur,0,,,2024-03-31
M-1005,O-88294,Metformin,Controls blood sugar in type 2 diabetes.,B-5267,2020-08-23,75180,Man,Kolkata,12,2023-02-09,-672.0,Mumbai,Jaipur,Kolkata,Mumbai,0,,,2023-02-13
M-1008,O-77312,Dolo 650,Brand of paracetamol for pain & fever.,B-3916,2023-03-20,5900,Ret,Jaipur,3,2024-07-06,-159.0,Jaipur,Kolkata,Hyderabad,Hyderabad,0,,2060.0,2023-06-01
M-1002,O-50028,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8056,2024-05-18,21960,Dis,Bangalore,29,2025-02-09,59.0,Hyderabad,Bangalore,Bangalore,Mumbai,13677,Understock,,2024-11-22
M-1012,O-27493,Levofloxacin,Antibiotic for bacterial infections.,B-2779,2022-01-04,71990,Dis,Lucknow,4,2023-03-13,-640.0,Bangalore,Lucknow,Bangalore,Mumbai,34554,Optimal,,2023-03-12
M-1005,O-82258,Metformin,Controls blood sugar in type 2 diabetes.,B-9979,2023-11-25,34230,Dis,Hyderabad,25,2024-11-23,-19.0,Delhi,Hyderabad,Hyderabad,Mumbai,7026,Understock,,2024-07-02
M-1007,O-37883,Cetirizine,Antihistamine for allergy symptoms.,B-9503,2024-09-29,58660,Dis,Pune,2,2026-06-20,555.0,Chennai,Pune,Delhi,Ahmedabad,34850,Understock,,2024-10-15
M-1012,O-32683,Levofloxacin,Antibiotic for bacterial infections.,B-1274,2020-09-29,56970,RMS,Kolkata,1535,2023-09-29,,Chennai,Mumbai,Mumbai,Kolkata,0,,,2022-05-05
M-1008,O-14890,Dolo 650,Brand of paracetamol for pain & fever.,B-4524,2023-03-02,41810,RMS,Bangalore,651,2025-06-09,,Bangalore,Delhi,Pune,Bangalore,0,,,2024-01-15
M-1001,O-63307,Amoxicillin,Antibiotic for bacterial infections.,B-8760,2022-09-18,27640,RMS,Ahmedabad,816,2023-06-26,,Pune,Jaipur,Jaipur,Ahmedabad,0,,,2023-09-01
M-1004,O-70443,Azithromycin,Antibiotic for bacterial infections.,B-5510,2022-09-19,30040,Dis,Lucknow,25,2024-04-30,-226.0,Chennai,Lucknow,Bangalore,Delhi,42415,Understock,,2023-11-02
M-1004,O-37792,Azithromycin,Antibiotic for bacterial infections.,B-8952,2024-04-23,40640,Ret,Kolkata,24,2026-12-23,741.0,Kolkata,Lucknow,Ahmedabad,Chennai,0,,8820.0,2024-09-13
M-1012,O-16408,Levofloxacin,Antibiotic for bacterial infections.,B-4577,2023-08-18,22230,Dis,Jaipur,5,2025-03-24,102.0,Lucknow,Jaipur,Lucknow,Kolkata,18630,Understock,,2023-12-01
M-1000,O-77335,Paracetamol,Relieves fever & mild to moderate pain.,B-5728,2023-09-10,76740,RMS,Jaipur,459,2026-07-28,,Kolkata,Chennai,Hyderabad,Jaipur,0,,,2024-07-08
M-1002,O-59682,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-6561,2023-06-21,53990,Ret,Ahmedabad,3,2025-10-29,321.0,Ahmedabad,Kolkata,Pune,Delhi,0,,7930.0,2023-08-30
M-1008,O-25770,Dolo 650,Brand of paracetamol for pain & fever.,B-2422,2021-05-15,18240,Ret,Pune,30,2023-04-23,-599.0,Pune,Chennai,Pune,Pune,0,,710.0,2023-10-28
M-1006,O-86870,Omeprazole,Treats GERD and other stomach issues.,B-5699,2021-01-29,67710,Dis,Lucknow,7,2023-11-04,-404.0,Ahmedabad,Lucknow,Hyderabad,Ahmedabad,5635,Understock,,2023-12-19
M-1003,O-98452,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-4175,2022-08-19,21790,Man,Chennai,22,2024-09-24,-79.0,Jaipur,Delhi,Chennai,Bangalore,0,,,2024-09-25
M-1002,O-47888,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-2568,2022-12-31,48470,RMS,Mumbai,712,2025-02-16,,Mumbai,Ahmedabad,Delhi,Mumbai,0,,,2023-05-02
M-1005,O-45384,Metformin,Controls blood sugar in type 2 diabetes.,B-2809,2020-07-10,25780,Man,Kolkata,27,2022-05-23,-934.0,Lucknow,Mumbai,Kolkata,Mumbai,0,,,2023-01-03
M-1010,O-51299,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-8960,2024-08-06,38080,Ret,Lucknow,14,2027-02-14,794.0,Lucknow,Ahmedabad,Kolkata,Lucknow,0,,5510.0,2024-08-29
M-1002,O-86850,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-1889,2020-08-05,44790,Ret,Lucknow,20,2022-01-27,-1050.0,Lucknow,Ahmedabad,Lucknow,Jaipur,0,,7850.0,2022-07-19
M-1001,O-57690,Amoxicillin,Antibiotic for bacterial infections.,B-1442,2024-05-09,58490,RMS,Bangalore,217,2027-03-02,,Lucknow,Jaipur,Chennai,Bangalore,0,,,2024-08-23
M-1007,O-37772,Cetirizine,Antihistamine for allergy symptoms.,B-4725,2020-08-06,13650,RMS,Chennai,1589,2022-08-12,,Lucknow,Hyderabad,Ahmedabad,Chennai,0,,,2021-06-05
M-1000,O-86320,Paracetamol,Relieves fever & mild to moderate pain.,B-9740,2024-09-28,87820,Man,Bangalore,22,2026-05-20,524.0,Pune,Ahmedabad,Bangalore,Kolkata,0,,,2024-10-10
M-1010,O-76848,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-2034,2023-01-28,87950,RMS,Pune,684,2025-01-06,,Lucknow,Hyderabad,Jaipur,Pune,0,,,2024-01-20
M-1009,O-96752,Cefixime,Antibiotic for respiratory and UTI infections.,B-5605,2022-07-19,85850,Man,Ahmedabad,5,2023-08-19,-481.0,Mumbai,Pune,Ahmedabad,Delhi,0,,,2024-10-28
M-1009,O-82591,Cefixime,Antibiotic for respiratory and UTI infections.,B-8504,2024-06-17,15312,RMS,Chennai,178,2027-01-03,,Delhi,Delhi,Hyderabad,Chennai,0,,,2024-08-03
M-1005,O-14013,Metformin,Controls blood sugar in type 2 diabetes.,B-6616,2024-11-24,31910,Ret,Hyderabad,9,2027-07-18,948.0,Hyderabad,Ahmedabad,Ahmedabad,Ahmedabad,0,,4910.0,2024-11-27
M-1010,O-84792,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-8060,2022-06-28,83930,Dis,Delhi,24,2024-09-25,-78.0,Pune,Delhi,Jaipur,Hyderabad,22141,Optimal,,2024-03-02
